Name,"Number
2020-03-18 17:58:38","Number
2020-03-19 17:18:25"
['Wolfsburg'],['4'],['6']
['Friesland'],['3'],['5']
['Leer'],['3'],['4']
['Lüchow-Dannenberg'],['3'],['3']
['Wesermarsch'],['3'],['3']
['Wittmund'],['3'],['3']
['Cloppenburg'],['2'],['3']
['Heidekreis'],['1'],['2']
['Wolfenbüttel'],['1'],['2']
Freistaat name ['Rheinland-Pfalz'],+++ ['603'] +++,+++ ['758'] +++
['Mayen-Koblenz'],['62'],['102']
['Neuwied'],['30'],['49']
['Mainz'],['28'],['48']
['Koblenz'],['27'],['46']
['Rhein-Hunsrück-Kreis'],['24'],['45']
['Cochem-Zell'],['23'],['42']
['Westerwaldkreis'],['22'],['41']
['Südliche Weinstraße'],['21'],['35']
['Eifelkreis Bitburg-Prüm'],['21'],['32']
['Mainz-Bingen'],['20'],['30']
['Bad Kreuznach'],['19'],['29']
['Bad Dürkheim'],['19'],['25']
['Kusel'],['14'],['24']
['Alzey-Worms'],['12'],['24']
['Kaiserslautern'],['11'],['23']
['Germersheim'],['10'],['17']
['Ahrweiler'],['10'],['15']
['Vulkaneifel'],['10'],['13']
['Rhein-Lahn-Kreis'],['9'],['12']
['Landkreis Kaiserslautern'],['8'],['12']
['Trier-Saarburg'],['7'],['12']
['Ludwigshafen am Rhein'],['6'],['11']
['Bernkastel-Wittlich'],['6'],['11']
['Altenkirchen (Westerwald)'],['5'],['10']
['Trier'],['5'],['9']
['Neustadt an der Weinstraße'],['4'],['9']
['Rhein-Pfalz-Kreis'],['2'],['7']
['Donnersbergkreis'],['2'],['7']
['Speyer'],['2'],['6']
['Südwestpfalz'],['1'],['4']
['Frankenthal (Pfalz)'],['1'],['3']
['Worms'],['1'],['2']
['Birkenfeld'],['1'],['2']
['Landau in der Pfalz'],['1'],['1']
['Pirmasens'],['0'],['0']
['Zweibrücken'],['0'],['0']
Freistaat name ['Hessen'],+++ ['452'] +++,+++ ['682'] +++
['Frankfurt am Main'],['51'],['83']
['Fulda'],['38'],['42']
['Marburg-Biedenkopf'],['34'],['34']
['Main-Kinzig-Kreis'],['31'],['32']
['Kassel'],['22'],['32']
['Wiesbaden'],['22'],['28']
['Lahn-Dill-Kreis'],['21'],['27']
['Hochtaunuskreis'],['20'],['26']
['Bergstraße'],['19'],['26']
['Rheingau-Taunus-Kreis'],['19'],['26']
['Gießen'],['17'],['25']
['Landkreis Kassel'],['17'],['22']
['Main-Taunus-Kreis'],['16'],['21']
['Landkreis Offenbach'],['16'],['21']
['Schwalm-Eder-Kreis'],['16'],['19']
['Hersfeld-Rotenburg'],['15'],['18']
['Wetteraukreis'],['15'],['18']
['Groß-Gerau'],['12'],['15']
['Darmstadt'],['11'],['15']
['Darmstadt-Dieburg'],['10'],['13']
['Waldeck-Frankenberg'],['8'],['13']
['Odenwaldkreis'],['7'],['12']
['Limburg-Weilburg'],['5'],['9']
['Offenbach am Main'],['5'],['8']
['Vogelsbergkreis'],['4'],['5']
['Werra-Meißner-Kreis'],['1'],['1']
Freistaat name ['Berlin'],+++ ['391'] +++,+++ ['573'] +++
['Berlin Stadt'],['383'],['519']
Freistaat name ['Hamburg'],+++ ['358'] +++,+++ ['432'] +++
['Hamburg Stadt'],['358'],['432']
